[Mon Apr 11 09:20:15.826728 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:55450] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 09:20:15.827728 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:55450] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 16:02:32.856551 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:64920] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 16:02:32.859551 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:64920] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 17:58:53.507580 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:49772] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 17:58:53.508580 2016] [:error] [pid 6016:tid 1664] [client 127.0.0.1:49772] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 18:00:08.929865 2016] [:error] [pid 6016:tid 1644] [client 127.0.0.1:49810] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Mon Apr 11 18:00:08.929865 2016] [:error] [pid 6016:tid 1644] [client 127.0.0.1:49810] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Tue Apr 12 10:23:55.296116 2016] [:error] [pid 4684:tid 1648] [client 127.0.0.1:55111] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Tue Apr 12 10:23:55.298116 2016] [:error] [pid 4684:tid 1648] [client 127.0.0.1:55111] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Wed Apr 13 08:40:24.601559 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:65026] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Wed Apr 13 08:40:24.604559 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:65026] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Wed Apr 13 14:10:29.920859 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:61419] PHP Fatal error:  Call to undefined function getLoggedUserRole() in D:\\Projects\\Work\\myfirstproject\\admin.php on line 4
[Wed Apr 13 14:50:25.700031 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:64853] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Wed Apr 13 14:50:25.700031 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:64853] PHP Notice:  Undefined variable: currentUser in D:\\Projects\\Work\\myfirstproject\\admin.php on line 6
[Wed Apr 13 15:02:47.064964 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:49204] PHP Notice:  Undefined index: user in D:\\Projects\\Work\\myfirstproject\\init.php on line 27
[Wed Apr 13 15:02:47.065964 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:49204] PHP Notice:  Undefined variable: currentUser in D:\\Projects\\Work\\myfirstproject\\admin.php on line 6
[Wed Apr 13 15:05:54.622691 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:49266] PHP Notice:  Undefined variable: currentUser in D:\\Projects\\Work\\myfirstproject\\admin.php on line 6, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:09:40.101088 2016] [:error] [pid 628:tid 1640] [client 127.0.0.1:49393] PHP Notice:  Undefined variable: admin in D:\\Projects\\Work\\myfirstproject\\admin.php on line 6, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:15:05.143678 2016] [:error] [pid 628:tid 1664] [client 127.0.0.1:49503] PHP Parse error:  syntax error, unexpected '' ?> </h3> <a href="logout.php' (T_ENCAPSED_AND_WHITESPACE), expecting ',' or ';' in D:\\Projects\\Work\\myfirstproject\\admin.php on line 17, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:59:01.068160 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:52651] PHP Parse error:  syntax error, unexpected '<', expecting '(' in D:\\Projects\\Work\\myfirstproject\\admin.php on line 21, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:59:24.563504 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:52657] PHP Parse error:  syntax error, unexpected '<', expecting '(' in D:\\Projects\\Work\\myfirstproject\\admin.php on line 22, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:59:27.028645 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:52657] PHP Parse error:  syntax error, unexpected '<', expecting '(' in D:\\Projects\\Work\\myfirstproject\\admin.php on line 22, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 15:59:46.310748 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:52668] PHP Notice:  Use of undefined constant getUserRows - assumed 'getUserRows' in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:11.839208 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52688] PHP Fatal error:  Call to undefined function getUserRow() in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.079137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Warning:  Missing argument 1 for getUserRows(), called in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12 and defined in D:\\Projects\\Work\\myfirstproject\\init.php on line 113, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.079137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.079137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.079137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\init.php on line 116, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.079137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\\Projects\\Work\\myfirstproject\\init.php on line 116, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:28.080137 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52691] PHP Fatal error:  Call to undefined function mysql_error() in D:\\Projects\\Work\\myfirstproject\\init.php on line 116, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:46.887199 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52708] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:46.887199 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52708] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:46.888199 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52708] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\\Projects\\Work\\myfirstproject\\init.php on line 116, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:00:46.888199 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52708] PHP Fatal error:  Call to undefined function mysql_error() in D:\\Projects\\Work\\myfirstproject\\init.php on line 116, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:01:27.342513 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52724] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:01:27.342513 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52724] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:01:27.342513 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52724] PHP Fatal error:  Call to undefined function mysql_error() in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:02:02.422520 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52736] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:02:02.423520 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52736] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:02:02.423520 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52736] PHP Fatal error:  Call to undefined function mysql_error() in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:02:19.822515 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52751] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:02:19.823515 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:52751] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:20:48.449872 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:53562] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:20:48.450872 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:53562] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:21:31.539148 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:53574] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:21:31.540148 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:53574] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:22:05.947346 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:53584] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:22:05.948346 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:53584] PHP Fatal error:  Call to undefined function mysqli() in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:30.431850 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54170] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:30.432851 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54170] PHP Fatal error:  Call to undefined function mysqli() in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:41.670949 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54180] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:41.670949 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54180] PHP Fatal error:  Call to undefined function mysqli() in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:43.124972 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54180] PHP Notice:  Undefined variable: databaseConnection in D:\\Projects\\Work\\myfirstproject\\admin.php on line 12, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:32:43.124972 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54180] PHP Fatal error:  Call to undefined function mysqli() in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:33:27.659142 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54192] PHP Fatal error:  Call to undefined function mysqli() in D:\\Projects\\Work\\myfirstproject\\init.php on line 114, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:33:39.351271 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:54202] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\init.php on line 115, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 16:35:44.068361 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:54271] PHP Fatal error:  Cannot redeclare getUserRows() (previously declared in D:\\Projects\\Work\\myfirstproject\\admin.php:13) in D:\\Projects\\Work\\myfirstproject\\init.php on line 127, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 17:15:47.183460 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:55489] PHP Notice:  Undefined variable: dbconn in D:\\Projects\\Work\\myfirstproject\\admin.php on line 20, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 17:15:47.184460 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:55489] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\admin.php on line 20, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 17:15:58.863581 2016] [:error] [pid 628:tid 1648] [client 127.0.0.1:55499] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\admin.php on line 20, referer: http://local.myfirstproject.ro/login.php
[Wed Apr 13 17:16:15.302702 2016] [:error] [pid 628:tid 1656] [client 127.0.0.1:55511] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, string given in D:\\Projects\\Work\\myfirstproject\\admin.php on line 20, referer: http://local.myfirstproject.ro/login.php
